prep;extract;submodel;no_submodels;interaction_terms_then_randomize
[""];rbm;lin;100;True
["std"];rbm;lin;100;True
["norm"];rbm;lin;100;True
["std","augment"];rbm;lin;100;True
["std","clahe"];rbm;lin;100;True
["std","gray"];rbm;lin;100;True
["std","blur"];rbm;lin;100;True
["norm","blur"];rbm;lin;100;True
["blur"];rbm;lin;100;True
["std","canny"];rbm;lin;100;True
["std","augment","clahe"];rbm;lin;100;True
["std","augment","gray"];rbm;lin;100;True
["std","augment","blur"];rbm;lin;100;True
["std","augment","canny"];rbm;lin;100;True
["std","clahe","gray"];rbm;lin;100;True
["std","clahe","blur"];rbm;lin;100;True
["std","clahe","canny"];rbm;lin;100;True
["std","gray","blur"];rbm;lin;100;True
["std","gray","canny"];rbm;lin;100;True
["std","blur","canny"];rbm;lin;100;True
["std","augment","clahe","gray"];rbm;lin;100;True
["std","augment","clahe","blur"];rbm;lin;100;True
["std","augment","clahe","canny"];rbm;lin;100;True
["std","augment","gray","blur"];rbm;lin;100;True
["std","augment","gray","canny"];rbm;lin;100;True
["std","augment","blur","canny"];rbm;lin;100;True
["std","clahe","gray","blur"];rbm;lin;100;True
["std","clahe","gray","canny"];rbm;lin;100;True
["std","clahe","blur","canny"];rbm;lin;100;True
["std","gray","blur","canny"];rbm;lin;100;True
["std","augment","clahe","gray","blur"];rbm;lin;100;True
["std","augment","clahe","gray","canny"];rbm;lin;100;True
["std","augment","clahe","blur","canny"];rbm;lin;100;True
["std","augment","gray","blur","canny"];rbm;lin;100;True
["std","clahe","gray","blur","canny"];rbm;lin;100;True
["std","augment","clahe","gray","blur","canny"];rbm;lin;100;True
