prep;extract;submodel;no_submodels;interaction_terms_then_randomize
["std"];ae;lin;50;True
["norm"];ae;lin;50;True
["std"];pca;lin;50;True
["norm"];pca;lin;50;True
["std"];ica;lin;50;True
["norm"];ica;lin;50;True
["std"];rbm;lin;50;True
["norm"];rbm;lin;50;True
["std"];ae;svm;50;True
["norm"];ae;svm;50;True
["std"];pca;svm;50;True
["norm"];pca;svm;50;True
["std"];ica;svm;50;True
["norm"];ica;svm;50;True
["std"];rbm;svm;50;True
["norm"];rbm;svm;50;True
["std"];tsne;lin;50;True
["norm"];tsne;lin;50;True
["std"];tsne;svm;50;True
["norm"];tsne;svm;50;True
["std"];tsne;lin;50;True
["norm"];tsne;lin;50;True
["norm"];nmf;lin;50;True
["norm"];nmf;svm;50;True
["norm"];nmf;elastic;50;True
["norm"];nmf;lasso;50;True
["std"];ae;elastic;50;True
["norm"];ae;elastic;50;True
["std"];pca;elastic;50;True
["norm"];pca;elastic;50;True
["std"];ica;elastic;50;True
["norm"];ica;elastic;50;True
["std"];rbm;elastic;50;True
["norm"];rbm;elastic;50;True
["std"];ae;lasso;50;True
["norm"];ae;lasso;50;True
["std"];pca;lasso;50;True
["norm"];pca;lasso;50;True
["std"];ica;lasso;50;True
["norm"];ica;lasso;50;True
["std"];rbm;lasso;50;True
["norm"];rbm;lasso;50;True
["std"];tsne;elastic;50;True
["norm"];tsne;elastic;50;True
