prep;extract;submodel;no_submodels;interaction_terms_then_randomize
[];pca;lin;50;True
["std"];pca;lin;50;True
["norm"];pca;lin;50;True
["std","canny"];pca;lin;50;True
["norm","canny"];pca;lin;50;True
["std","clahe"];pca;lin;50;True
["norm","clahe"];pca;lin;50;True
["std","blur"];pca;lin;50;True
["norm","blur"];pca;lin;50;True
["std","augment"];pca;lin;50;True
["norm","augment"];pca;lin;50;True
["std","gray"];pca;lin;50;True
["norm","gray"];pca;lin;50;True
["std","canny","gray"];pca;lin;50;True
["norm","canny","gray"];pca;lin;50;True
["std","clahe","gray"];pca;lin;50;True
["norm","clahe","gray"];pca;lin;50;True
["std","blur","gray"];pca;lin;50;True
["norm","blur","gray"];pca;lin;50;True
["std","augment","gray"];pca;lin;50;True
["norm","augment","gray"];pca;lin;50;True
["std","canny","augment","gray"];pca;lin;50;True
["norm","canny","augment","gray"];pca;lin;50;True
["std","blur","augment","gray"];pca;lin;50;True
["norm","blur","augment","gray"];pca;lin;50;True
["std","clahe","augment","gray"];pca;lin;50;True
["norm","clahe","augment","gray"];pca;lin;50;True
["std","canny","clahe","augment","gray"];pca;lin;50;True
["norm","canny","clahe","augment","gray"];pca;lin;50;True
["std","clahe","blur","augment","gray"];pca;lin;50;True
["norm","clahe","blur","augment","gray"];pca;lin;50;True
["std","canny","clahe","blur","gray"];pca;lin;50;True
["norm","canny","clahe","blur","gray"];pca;lin;50;True
["std","canny","clahe","blur","augment","gray"];pca;lin;50;True
["norm","canny","clahe","blur","augment","gray"];pca;lin;50;True
